"alt","caption","commentsCount","dimensionsHeight","dimensionsWidth","displayUrl","firstComment","fullName","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","hashtags/27","hashtags/28","hashtags/29","id","likesCount","locationId","locationName","mentions/0","mentions/1","mentions/2","mentions/3","mentions/4","mentions/5","ownerFullName","ownerId","ownerUsername","position","productType","queryTag","shortCode","timestamp","type","url","videoViewCount"
"Photo by Doceria 3K's in Cidade Tabajara. May be an image of dessert.","Vem adoçar sua tarde...😋💛

#doceria3ks #brownie #brownienopote  #chocolate #docesolindape #tabajara #fragoso #olinda","0","1350","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274790059_3054454468111386_8818610025778607532_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=hxewzkoTVgQAX_wI56i&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT_wk4Tm7pVOf1Pjzs-sag6lxGh1qU9v_LsK8TYVZavQvQ&oe=622315AF&_nc_sid=4efc9f","","owner didnt open","doceria3ks","brownie","brownienopote","chocolate","docesolindape","tabajara","fragoso","olinda",,,,,,,,,,,,,,,,,,,,,,,"2783020255549114413","3",,,,,,,,,,"48000313830",,"1",,"brownienopote","CafRi1muMgt","2022-02-27T17:11:29.000Z","Image","https://www.instagram.com/p/CafRi1muMgt/",
"Photo by Doceria em Olinda Nova - MA on February 27, 2022. May be an image of dessert.","Quem ainda não provou correee pra provar o nosso cookie tradicional, feito com a massa de baunilha e gotas de chocolate 🍫 
.
.
.
#cookierecheado #cookies #cookiedecorating #brownierecheado #brownienopote #brownie #doceriagourmet #docesgourmet #docespersonalizados #docecapricho","0","1350","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274805961_666580377720233_7423899993499104162_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=-LFSccFCJK4AX_vZDMt&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT9xLg0zAivENSYfsS0mwRIkghSm0mQMAVRClUkH5Nukrg&oe=62238959&_nc_sid=4efc9f","","owner didnt open","cookierecheado","cookies","cookiedecorating","brownierecheado","brownienopote","brownie","doceriagourmet","docesgourmet","docespersonalizados","docecapricho",,,,,,,,,,,,,,,,,,,,,"2782983096213697861","3",,,,,,,,,,"48394354274",,"2",,"brownienopote","CafJGGRu_VF","2022-02-27T15:57:39.000Z","Sidecar","https://www.instagram.com/p/CafJGGRu_VF/",
"Photo by Cris Doces Artesanais on February 27, 2022. May be an image of cake, cosmetics and text that says 'Parabéns Estilo Cris'.","💅💆🧡

Topper: @ddocelembranca

#crisdocesartesanais #doces #chocolate #brigadeiro #cupcake #brownierecheado #conesrecheados #brownienopote #pudim #pudding #empadao #amor #dedicacao #carinho #compromissocomvocê #coracaotrufado #conetrufado #brigadeirosgourmet #tortadelimao #tortadoce #aniversario #tortanakedcake #taçadafelicidade #caixaexplosao #doces #casamento #comemoração #flores #2022","1","1349","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274733595_683413596147450_8775063084038269422_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=7wF7hGDCahsAX92rBny&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT8WntN-ESWm4TEBf7YguojFS5Pb2En6D8r1R_oCnQqaLw&oe=6222DF4F&_nc_sid=4efc9f","","owner didnt open","crisdocesartesanais","doces","chocolate","brigadeiro","cupcake","brownierecheado","conesrecheados","brownienopote","pudim","pudding","empadao","amor","dedicacao","carinho","compromissocomvocê","coracaotrufado","conetrufado","brigadeirosgourmet","tortadelimao","tortadoce","aniversario","tortanakedcake","taçadafelicidade","caixaexplosao","casamento","comemoração","flores","2022",,,"2782972779751729286","10",,,"ddocelembranca",,,,,,,"33219177665",,"3",,"brownienopote","CafGv-UruiG","2022-02-27T15:37:09.000Z","Sidecar","https://www.instagram.com/p/CafGv-UruiG/",
"Photo by 🧁Madison Makes🧁 on February 27, 2022. May be an image of dessert.","🌸30th Birthday Biscuits🌸

A main biscuit and a bitesize one! What could be more perfect!

Flamingo Embooser- @house_of_toot_sweet

#biscuits #30thbirthday #30thbirthdaybiscuits #cake #flowers #flamingo #hearts #treatyourself #sweetssweets #kent #businessowner #cakemaker #mum #instafood #medway  #brownies #cheesecake #cupcakes #personalised","0","1080","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274744564_468189604997598_5197238955763007322_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=CqyVvkqdwqAAX_wGM3A&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT-GHezaX3x79DzzpM9zFwugEcVgxVNQVhyZT1dOWd8HEw&oe=6221E524&_nc_sid=4efc9f","","owner didnt open","biscuits","30thbirthday","30thbirthdaybiscuits","cake","flowers","flamingo","hearts","treatyourself","sweetssweets","kent","businessowner","cakemaker","mum","instafood","medway","brownies","cheesecake","cupcakes","personalised",,,,,,,,,,,,"2783025407756245498","0",,,"house_of_toot_sweet",,,,,,,"48603312852",,"1",,"brownies","CafStz-Mpn6","2022-02-27T17:21:43.000Z","Sidecar","https://www.instagram.com/p/CafStz-Mpn6/",
"Photo by Brownli in Praia do Tombo. May be an image of outdoors and text that says 'いい、 agora melhor me está no nopote 150ml'.","💥Agora o melhor está no pote!

Geladinho para você aproveitar a praia de um jeito mais gostoso ☀️

👉Clica no nosso site⁣
brownli.com.br (link na bio)⁣ para ter o seu e aproveita o cupom “primeiracompra”

#brownli #naondadabrownli #brownlionline ⁣#browniedapraia #brownie #brownienopote
⁣
 ⁣
⁣⁣
⁣
⁣
⁣

⁣
 ⁣
⁣⁣
⁣
⁣
⁣
 ⁣
⁣⁣
⁣
⁣
⁣","0","1349","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274733378_262836532557108_2098345920977210319_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=PqIx_bS12GwAX-oefXo&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT-KZXUIVvbpR8ugxLZpRgNalHaS-Ucsrf3szJuBGyMuJw&oe=62220842&_nc_sid=4efc9f","","owner didnt open","brownli","naondadabrownli","brownlionline","browniedapraia","brownie","brownienopote",,,,,,,,,,,,,,,,,,,,,,,,,"2782966546896834656","10",,,,,,,,,,"2140408481",,"4",,"brownienopote","CafFVRhlNBg","2022-02-27T15:24:46.000Z","Image","https://www.instagram.com/p/CafFVRhlNBg/",
"Photo by BURNT-Winchester on February 27, 2022. May be an image of dessert.","The Mother’s Day postal products are now on the website and available to pre-order 💐💕 All prices include Tracked 24 shipping and will be sent on the 24th March 🌸
.
.
.
#mothersdaygift #letterboxbrownies #brownies #baking #presents #gifts #chocolate #chocolatebrownies #traybakes #burnt #thebakeryburnt #food #bakersofinstagram #bakedwithlove #bakedgoods #browniesofinstagram","0","1218","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274879677_376945397210703_3491726952728606091_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=8zADhTU8hTIAX-N8X9y&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT9Ny8babtYcYqfw1mV5CiHJJoMkWQcAqVCuvAus2BAUQg&oe=62236E0E&_nc_sid=4efc9f","","owner didnt open","mothersdaygift","letterboxbrownies","brownies","baking","presents","gifts","chocolate","chocolatebrownies","traybakes","burnt","thebakeryburnt","food","bakersofinstagram","bakedwithlove","bakedgoods","browniesofinstagram",,,,,,,,,,,,,,,"2783024757647344091","0",,,,,,,,,,"39308278897",,"2",,"brownies","CafSkWgsAHb","2022-02-27T17:20:25.000Z","Sidecar","https://www.instagram.com/p/CafSkWgsAHb/",
"Photo by Isabel Dutra Doces on February 27, 2022. May be an image of dessert and indoor.","Quem aí aceita uma sobremesa?!😋🍫🥥
Pensem numa delícia esse brownies! Aqueci por 15seg no microondas e tô no paraíso!😃

#domingou #sobremesas #brownies #brownierecheado #browniedecafe #chocolate #nibsdecacau #cafe #isabeldutracake","0","1346","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274874514_325448956265409_7102631272155257615_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=lUgW5R46-_4AX_LZyVh&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT9EPQDBNbcasUtxG7JSFjscu1Mu-MtwkdZN3V7mVIhc7w&oe=6222E571&_nc_sid=4efc9f","","owner didnt open","domingou","sobremesas","brownies","brownierecheado","browniedecafe","chocolate","nibsdecacau","cafe","isabeldutracake",,,,,,,,,,,,,,,,,,,,,,"2783024500721691129","0",,,,,,,,,,"6732034276",,"3",,"brownies","CafSgnOuan5","2022-02-27T17:19:55.000Z","Sidecar","https://www.instagram.com/p/CafSgnOuan5/",
"Photo by Donna Dulce on February 27, 2022. May be an image of cake and indoor.","Um bolo que é um presente, ou um presente que é um bolo? 

Pedidos e encomendas pelo WhatsApp (11) 93777-0191. 

Entregas pelo uber flash em Jandira e região. 

#donnadulces #confeitariaartesanal #brigadeirogourmet #minicupcakes #alphaville #barueri  #osasco #jandira #chocolate #brownie #brigadeiros  #paodemel  #trufas #cupcakes  #minipaodemel #brownienopote  #ovodepascoa #palhaitaliana #cupcakesartesanal
#empreendedorismofeminino
#empreendedores #boloscaseiros #bolosdefesta #bolosdecorados #bolodelimao #bolodechocolate #cookies","2","1350","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274837383_505694067824445_6789794060921650667_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=QNPs414LHToAX_AmAeL&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT8L0bktAkjcdG1KJKi2UAvZP7NFHLPwNNuCJEokldr20w&oe=6221B50B&_nc_sid=4efc9f","","owner didnt open","donnadulces","confeitariaartesanal","brigadeirogourmet","minicupcakes","alphaville","barueri","osasco","jandira","chocolate","brownie","brigadeiros","paodemel","trufas","cupcakes","minipaodemel","brownienopote","ovodepascoa","palhaitaliana","cupcakesartesanal","empreendedorismofeminino","empreendedores","boloscaseiros","bolosdefesta","bolosdecorados","bolodelimao","bolodechocolate","cookies",,,,"2782932091764876795","11",,,,,,,,,,"8153253307",,"5",,"brownienopote","Cae9f4rriX7","2022-02-27T14:16:19.000Z","Sidecar","https://www.instagram.com/p/Cae9f4rriX7/",
"Photo by Rosemy Cherian in Virajpet, Coorg. May be an image of cake.","For someone special 
.
.
.
.
#pinatacake #cakes #birthdaycake #cakedecorating #chocolate  #cakesofinstagram #instacake #instafood #baking #yummy #cakestagram #cakedesign #homemade #cupcakes #bakery#delicious #cakeart #pastry #chocolatecake #instagood #foodphotography #buttercream  #desserts #cakelover #cupcake #fondant #foodstagram  #brownies #cakedesigner  #baker","1","1080","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274752284_679963430025246_4732195127253531147_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=cZtMbN411TQAX9KcQBJ&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT-M8gjhY2Pi2Ypt64GEX--_91K71QWLLiDBtngMCJMlrA&oe=62224B28&_nc_sid=4efc9f","","owner didnt open","pinatacake","cakes","birthdaycake","cakedecorating","chocolate","cakesofinstagram","instacake","instafood","baking","yummy","cakestagram","cakedesign","homemade","cupcakes","bakery","delicious","cakeart","pastry","chocolatecake","instagood","foodphotography","buttercream","desserts","cakelover","cupcake","fondant","foodstagram","brownies","cakedesigner","baker","2783024449649612568","2",,,,,,,,,,"42760509732",,"4",,"brownies","CafSf3ql5cY","2022-02-27T17:19:49.000Z","Image","https://www.instagram.com/p/CafSf3ql5cY/",
"Photo by Engenharia  do Brownie in Niterói, Rio de Janeiro, Brazil with @iamrafaelarangel, @amorim.matheus, @natasharodriguestrindade, @ludymilasalum, @naty.decora, and @arthur.rangel.hypolito. May be an image of dessert.","Domingo de Carnaval com direito ao bloquinho do @arthur.rangel.hypolito !

#confeitariaartesanal ##confeitaria #brownies #browniespersonalizados #brownienopote #carnavrau #carnaval #carnaval2022 #niteroirj #itaboraí #riodejaneirotrip #riodejaneiroinstagram #riodasostras #saogoncalo #vendasnoinstagram","1","1293","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274897301_631562167948271_1165120931672982382_n.webp?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=EygEC1KjUREAX818n2K&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT-i9gm3P5b6G-pA2WkBhFYEKh44y3c14Jd-SzdarVFbsw&oe=6223542F&_nc_sid=4efc9f","","owner didnt open","confeitariaartesanal","#confeitaria","brownies","browniespersonalizados","brownienopote","carnavrau","carnaval","carnaval2022","niteroirj","itaboraí","riodejaneirotrip","riodejaneiroinstagram","riodasostras","saogoncalo","vendasnoinstagram",,,,,,,,,,,,,,,,"2782930319798145803","21",,,"arthur.rangel.hypolito",,,,,,,"16194964290",,"6",,"brownienopote","Cae9GGaO5ML","2022-02-27T14:12:48.000Z","Image","https://www.instagram.com/p/Cae9GGaO5ML/",
